Commodity,crop
Almond,temf
Apple,temf
Apricot,temf
Asian Vegetables,vege
Asparagus,vege
Avocado,trof
Banana,bana
Barley,barl
Beetroot,orts
Bitter Melon,temf
Blackcurrant,temf
Blueberry,temf
Broccoli,vege
Brussels Sprout,vege
Bulb Fennel,vege
Cabbage,vege
Canola,rape
Capsicum,vege
Carambola,trof
Carrot,vege
Cashew,trof
Cauliflower,vege
Celery,vege
Cereals For Hay/Silage,ocer
Cherry,temf
Chickpea,chic
Coriander,vege
Cotton,cott
Cucumber,vege
Custard Apple,trof
Date,trof
Eggplant,vege
Faba Bean,bean
Field Bean,bean
Field Pea,opul
French And Runner Bean,bean
Grape,temf
Grapefruit,trof
Green Pea,opul
Guava,trof
Hops,ocer
Jackfruit,trof
Kiwi Fruit,temf
Leek,vege
Lemon,trof
Lentil,lent
Lettuce,vege
Lupin,opul
Macadamia,trof
Maize,maiz
Mandarin,trof
Mango,trof
Melon,temf
Millet,mill
Mung Bean,bean
Mushroom,vege
Nashi,temf
Nectarine,temf
Non-Cereal Crops Cut For Hay,rest
Oats,ocer
Olive,ooil
Onion,vege
Orange,trof
Papaw,trof
Parsley,vege
Parsnip,orts
Peach,temf
Peanut,grou
Pear,temf
Pecan,temf
Pineapple,trof
Plum,temf
Popcorn,vege
Potato,pota
Pumpkin,vege
Rambutan,trof
Raspberry,temf
Rice,rice
Safflower,ooil
Snow And Sugarsnap Pea,opul
Sorghum,sorg
Soybean,soyb
Strawberry,temf
Sugar,sugc
Sunflower,sunf
Swede And Turnip,vege
Sweet Corn,vege
Tobacco,toba
Tomato,vege
Triticale,ocer
Vetch,opul
Wheat,whea
Zucchini,vege
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
