crop,abs_crops
bana,"Fruit trees, nut trees, plantation or berry fruits"
barl,Other cereals for grain or seed
bean,Other broadacre crops
cass,Other broadacre crops
chic,Other broadacre crops
coco,Other broadacre crops
coff,Other broadacre crops
cott,Cotton
grou,Other broadacre crops
lent,Other broadacre crops
maiz,Other cereals for grain or seed
mill,Other cereals for grain or seed
ocer,Other cereals for grain or seed
oilp,Other broadacre crops
ooil,Other broadacre crops
opul,Other broadacre crops
orts,Other broadacre crops
pige,Other broadacre crops
pota,Vegetables for human consumption or seed
rape,Other cereals for grain or seed
rest,Other broadacre crops
rice,Rice
sorg,Other cereals for grain or seed
soyb,Other broadacre crops
sugb,Other broadacre crops
sugc,Sugar cane
sunf,Other cereals for grain or seed
temf,"Fruit trees, nut trees, plantation or berry fruits"
toba,Other broadacre crops
trof,"Fruit trees, nut trees, plantation or berry fruits"
vege,Vegetables for human consumption or seed
whea,Other cereals for grain or seed
swpo,Other
yams,Other
cowp,Other
cnut,Other
sesa,Other
ofib,Other
teas,Other
plnt,Other
